platform,i,ni,nj,nk,nranks,gridpoints,gridpoints_per_rank,dt,nsteps,main_loop,total_runtime,init,termination,sec_per_step,throughput
cpu,1,32,32,100,1,102400,102400.0,1200,150,18.619592,19.027258,0.373878,0.024058,0.12413061333333333,824937.5174278792
cpu,2,64,32,100,2,204800,102400.0,600,150,22.187091,22.445188,0.186824,0.062424,0.14791394,1384588.90352052
cpu,4,64,64,100,4,409600,102400.0,600,150,25.088859,25.384468,0.195833,0.091166,0.16725906,2448895.7429271694
cpu,8,128,64,100,8,819200,102400.0,300,150,32.485828,32.817584,0.200445,0.119053,0.21657218666666667,3782572.511311702
cpu,16,128,128,100,16,1638400,102400.0,300,150,50.306722,50.780852,0.242892,0.20649,0.33537814666666665,4885231.8384012375
cpu,32,256,128,100,32,3276800,102400.0,150,150,51.241512,51.849968,0.25739,0.326454,0.34161008,9592222.805603394
cpu,64,256,256,100,64,6553600,102400.0,150,150,53.536103,54.543022,0.336197,0.644205,0.3569073533333333,18362188.22277744
cpu,128,512,256,100,128,13107200,102400.0,75,150,54.082471,55.830651,0.456813,1.260357,0.36054980666666664,36353368.543386266
cpu,256,512,512,100,128,26214400,204800.0,75,150,108.443794,111.579838,0.669365,2.425425,0.7229586266666667,36259889.616182186
cpu,512,1024,512,100,128,52428800,409600.0,37,150,288.752477,294.326004,1.088595,4.442743,1.9250165133333332,27235506.623896424
cpu,1024,1024,1024,100,128,104857600,819200.0,37,150,572.532648,584.282272,2.235189,9.473594,3.8168843199999998,27472040.336815868
gpu,1,32,32,100,1,102400,102400.0,1200,150,17.526229,17.925904,0.373272,0.010924,0.11684152666666667,876400.7362907331
gpu,2,64,32,100,1,204800,204800.0,600,150,18.057954,18.450451,0.329858,0.057091,0.12038636,1701189.4038494064
gpu,4,64,64,100,1,409600,409600.0,600,150,20.04556,20.658738,0.391534,0.216028,0.13363706666666667,3065017.8892482924
gpu,8,128,64,100,1,819200,819200.0,300,150,21.67969,22.34078,0.538923,0.115524,0.14453126666666669,5667977.724773739
gpu,16,128,128,100,1,1638400,1638400.0,300,150,25.906679,27.903591,0.793641,1.189569,0.17271119333333335,9486356.780813163
gpu,32,256,128,100,1,3276800,3276800.0,150,150,34.133446,35.7847,1.247714,0.388247,0.22755630666666665,14399952.46890689
gpu,64,256,256,100,1,6553600,6553600.0,150,150,51.640408,54.539911,2.220363,0.66092,0.3442693866666667,19036255.484271154
gpu,128,512,256,100,1,13107200,13107200.0,75,150,87.454745,92.832088,4.145164,1.208474,0.5830316333333333,22481112.945901334
gpu,256,512,512,100,1,26214400,26214400.0,75,150,154.538813,164.751956,7.772411,2.406405,1.0302587533333334,25444481.704411693
gpu,512,1024,512,100,1,52428800,52428800.0,37,150,371.416356,390.910975,15.06727,4.369394,2.47610904,21173865.59034573
